County,state,Year,Cocaine Death,Cocaine Death Per100K,Drug Death,drug death per100k,Fentanyl Death,Fentanyl Death Per100K,Murder,Murder Per100K,Population
Allegany,Maryland,2020,10,14.7,52,76,44,64.6,1,1.5,68106
Allegany,Maryland,2018,12,17,39,55,29,41.1,2,2.8,70577
Allegany,Maryland,2017,13,18.2,38,53,29,40.5,4,5.6,71616
Allegany,Maryland,2016,9,12.6,59,82,29,40.5,5,7,71622
Allegany,Maryland,2019,6,8.6,28,39,19,27.1,0,0,70140
Allegany,Maryland,2015,5,6.9,22,30,5,6.9,3,4.2,72230
Allegany,Maryland,2013,2,2.7,15,20,1,1.4,4,5.4,73834
Allegany,Maryland,2014,2,2.7,12,16,1,1.4,2,2.7,73299
Allegany,Maryland,2012,2,2.7,14,18,1,1.3,3,4,75413
Allegany,Maryland,2011,0,0,12,15,1,1.3,6,7.9,75799
Anne Arundel,Maryland,2020,89,15.1,251,42,209,35.5,26,4.4,588261
Anne Arundel,Maryland,2018,91,15.9,241,42,184,32.1,25,4.4,573631
Anne Arundel,Maryland,2019,72,12.5,208,35,164,28.4,20,3.5,577904
Anne Arundel,Maryland,2017,66,11.5,214,37,152,26.5,21,3.7,572990
Anne Arundel,Maryland,2016,31,5.5,195,34,98,17.3,25,4.4,566105
Anne Arundel,Maryland,2015,19,3.4,112,19,29,5.1,17,3,563766
Anne Arundel,Maryland,2014,19,3.4,101,18,23,4.1,14,2.5,561031
Anne Arundel,Maryland,2013,12,2.2,78,14,6,1.1,15,2.7,555330
Anne Arundel,Maryland,2012,13,2.4,83,15,3,0.5,13,2.4,549659
Anne Arundel,Maryland,2011,18,3.3,79,14,2,0.4,15,2.8,542753
Baltimore,Maryland,2020,135,23,394,67,328,56,33,5.6,585708
Baltimore,Maryland,2018,132,15.9,388,46,308,37.1,28,3.4,829560
Baltimore,Maryland,2019,138,16.7,350,42,285,34.5,50,6,827068
Baltimore,Maryland,2017,123,14.7,367,43,244,29.2,35,4.2,834727
Baltimore,Maryland,2016,80,9.6,336,40,182,21.9,35,4.2,831374
Baltimore,Maryland,2015,38,4.6,220,26,65,7.8,32,3.9,829630
Baltimore,Maryland,2014,28,3.4,170,20,36,4.3,25,3,828871
